heuristic,switch_size,max_queue_length,simulation_length,packet_delay_average,packet_delay_variance,packet_delay_max,packet_delay_min,queue_length_average,queue_length_variance,queue_length_max,queue_length_min,permutation_matrix_amount_average,permutation_matrix_amount_variance,permutation_matrix_amount_max,permutation_matrix_amount_min,throughput_average,throughput_variance,throughput_max,throughput_min
GLJD,2,10,80,4.188395746648174,26.354937001036,60.0,0.0,4.537916666666667,6.757728993055555,10.0,0.0,2.0,0.0,2.0,2.0,0.9012499999999999,0.0020869791666666675,0.9625,0.71875
GLJD,2,10,85,4.375624592656963,28.96448948062049,60.0,0.0,4.683725490196078,6.96997043444829,10.0,0.0,2.0,0.0,2.0,2.0,0.9025490196078432,0.0021169165705497883,0.9647058823529412,0.7176470588235294
GLJD,2,10,90,4.563892864444899,31.273110504980778,60.0,0.0,4.817962962962963,7.13519585048011,10.0,0.0,2.0,0.0,2.0,2.0,0.9057407407407408,0.0019372085048010987,0.9666666666666667,0.7333333333333333
GLJD,2,10,95,4.722844994201778,32.40637025931297,60.0,0.0,4.944210526315789,7.273729639889196,10.0,0.0,2.0,0.0,2.0,2.0,0.907719298245614,0.0021398584179747613,0.968421052631579,0.7157894736842105
GLJD,2,10,100,4.863386978785662,34.02650879172511,60.0,0.0,5.0585,7.368411083333334,10.0,0.0,2.0,0.0,2.0,2.0,0.9113333333333333,0.0020232222222222223,0.97,0.725
GLJD,2,25,5,0.4798206278026906,0.5545255283637314,3.0,0.0,0.7966666666666666,0.4619888888888889,4.0,0.0,2.0,0.0,2.0,2.0,0.7433333333333333,0.014455555555555558,1.0,0.4
GLJD,2,25,10,0.9208333333333333,1.2562326388888887,5.0,0.0,1.2516666666666667,0.9316638888888887,5.0,0.0,2.0,0.0,2.0,2.0,0.8,0.007833333333333335,1.0,0.65
GLJD,2,25,15,1.2864864864864864,2.6287363038714386,13.0,0.0,1.6322222222222222,1.490295061728395,7.0,0.0,2.0,0.0,2.0,2.0,0.8222222222222222,0.006469135802469137,0.9666666666666667,0.6666666666666666
GLJD,2,25,20,1.6071428571428572,3.5103458049886624,13.0,0.0,1.9766666666666666,2.0577888888888887,9.0,0.0,2.0,0.0,2.0,2.0,0.84,0.004441666666666667,0.975,0.65
GLJD,2,25,25,1.8764568764568765,5.2427013545894665,23.0,0.0,2.266,2.6179106666666665,11.0,0.0,2.0,0.0,2.0,2.0,0.858,0.004622666666666666,0.98,0.62
GLJD,2,25,30,2.1209213051823417,6.47866018766509,23.0,0.0,2.5194444444444444,3.108510802469136,11.0,0.0,2.0,0.0,2.0,2.0,0.8683333333333334,0.0033953703703703685,0.9833333333333333,0.6833333333333333
GLJD,2,25,35,2.3159912376779848,7.893030151073276,30.0,0.0,2.783333333333333,3.6982936507936506,12.0,0.0,2.0,0.0,2.0,2.0,0.8695238095238095,0.0032072562358276637,0.9714285714285714,0.7142857142857143
GLJD,2,25,40,2.5741535526943253,9.613123091347655,30.0,0.0,3.0429166666666667,4.397741493055556,15.0,0.0,2.0,0.0,2.0,2.0,0.87375,0.003086979166666667,0.9625,0.7125
GLJD,2,25,45,2.8772151898734175,12.974375367195426,34.0,0.0,3.2962962962962963,5.20480109739369,17.0,0.0,2.0,0.0,2.0,2.0,0.8777777777777779,0.003061728395061728,0.9666666666666667,0.6888888888888889
GLJD,2,25,50,3.1176027139087825,14.783003374768361,34.0,0.0,3.535,6.006775,17.0,0.0,2.0,0.0,2.0,2.0,0.8843333333333333,0.002711222222222222,0.97,0.72
GLJD,2,25,55,3.3061711558131606,16.732034879672614,39.0,0.0,3.7581818181818183,6.70213002754821,17.0,0.0,2.0,0.0,2.0,2.0,0.8887878787878787,0.0022351698806244258,0.9727272727272728,0.7454545454545455
GLJD,2,25,60,3.542367601246106,19.76845420754845,52.0,0.0,3.973888888888889,7.352651543209878,17.0,0.0,2.0,0.0,2.0,2.0,0.8916666666666668,0.0018055555555555553,0.95,0.7666666666666667
GLJD,2,25,65,3.718374356038924,21.230933132897057,52.0,0.0,4.177948717948718,7.932436817882972,17.0,0.0,2.0,0.0,2.0,2.0,0.8958974358974356,0.0015768573307034844,0.9538461538461539,0.7769230769230769
GLJD,2,25,70,3.912536443148688,23.46226796348769,60.0,0.0,4.38047619047619,8.542380725623584,17.0,0.0,2.0,0.0,2.0,2.0,0.8983333333333333,0.0013730725623582768,0.9571428571428572,0.7928571428571428
GLJD,2,25,75,4.065072713827952,24.897909983620764,60.0,0.0,4.572666666666667,9.165608444444445,20.0,0.0,2.0,0.0,2.0,2.0,0.9015555555555557,0.0013916543209876535,0.96,0.78
GLJD,2,25,80,4.266405710338476,27.920508540902226,60.0,0.0,4.757916666666667,9.810978993055556,22.0,0.0,2.0,0.0,2.0,2.0,0.9047916666666665,0.001361154513888889,0.9625,0.775
GLJD,2,25,85,4.470054054054054,31.074184321402484,60.0,0.0,4.9372549019607845,10.45449442522107,22.0,0.0,2.0,0.0,2.0,2.0,0.906862745098039,0.001305843906189927,0.9647058823529412,0.7823529411764706
